idx,word,occurrences
0,cant,490
1,delayed,490
2,call,486
3,still,479
4,need,471
5,gate,471
6,bag,465
7,hour,460
8,dont,441
9,got,435
10,Late,425
11,like,413
12,phone,407
13,today,392
14,airline,381
15,guys,366
16,fly,362
17,please,351
18,know,350
19,You,346
20,waiting,341
21,way,328
22,Ive,325
23,No,323
24,day,321
25,Thank,311
26,wait,309
27,hrs,307
28,change,307
29,trying,305
30,airport,302
31,going,300
32,make,296
33,tomorrow,295
34,minutes,293
35,go,291
36,flying,290
37,home,287
38,delay,285
39,weather,284
40,last,283
41,even,273
42,thank,272
43,people,271
44,bags,264
45,seat,263
46,AA,262
47,take,261
48,u,261
49,great,259
50,want,257
51,told,255
52,check,252
53,luggage,252
54,never,245
55,agent,245
56,good,244
57,ticket,243
58,Can,241
59,due,238
60,see,236
61,getting,235
62,email,235
63,number,234
64,work,234
65,another,233
66,really,228
67,travel,228
68,min,227
69,first,225
70,days,225
71,DM,222
72,lost,221
73,Flighted,221
74,someone,220
75,ever,220
76,could,217
77,crew,216
78,next,213
79,We,213
80,new,212
81,much,211
82,How,210
83,baggage,207
84,The,207
85,My,207
86,This,206
87,trip,204
88,response,203
89,two,202
90,seats,198
91,Just,198
92,right,198
93,made,198
94,UA,198
95,What,197
96,experience,197
97,didnt,192
98,United,192
99,online,188
100,love,184
101,let,184
102,passengers,183
103,sitting,182
104,customers,181
105,Please,179
106,staff,178
107,Your,177
108,US,176
109,worst,176
110,Is,175
111,boarding,175
112,sent,174
113,Our,174
114,wont,173
115,better,172
116,book,171
117,long,171
118,Its,171
119,Ill,171
120,said,170
121,times,169
122,line,169
123,Why,168
124,Not,168
125,since,167
126,left,166
127,booked,164
128,already,164
129,doesnt,164
130,sure,164
131,morning,162
132,bad,160
133,well,160
134,A,160
135,give,160
136,yes,159
137,w,159
138,best,158
139,Flightr,157
140,miss,155
141,pm,153
142,find,153
143,tonight,152
144,fleek,151
145,Booking,149
146,use,149
147,reservation,149
148,JFK,149
149,think,148
150,It,148
151,Problems,147
152,issue,147
153,says,146
154,night,145
155,thats,145
156,agents,145
157,connection,145
158,fleets,145
159,stuck,144
160,miles,144
161,website,143
162,But,142
163,refund,142
164,yet,141
165,info,141
166,care,141
167,mins,141
168,system,140
169,hotel,139
170,Now,138
171,put,138
172,nothing,133
173,youre,133
174,delays,133
175,rebooked,132
176,tell,130
177,ago,129
178,And,127
179,pay,126
180,DFW,126
181,rebook,126
182,They,126
183,free,125
184,tickets,124
185,called,122
186,tried,122
187,issues,121
188,anything,120
189,So,118
190,rude,118
191,able,117
192,done,116
193,hr,116
194,hope,114
195,week,113
196,working,112
197,Any,112
198,flt,112
199,checked,112
200,class,111
201,keep,111
202,credit,110
203,follow,110
204,If,110
205,missed,109
206,available,109
207,say,109
208,via,109
209,board,109
210,person,108
211,airlines,107
212,business,106
213,st,104
214,anyone,103
215,leave,102
216,without,102
217,nice,102
218,problem,101
219,helpful,101
220,status,100
221,answer,100
222,missing,100
223,LAX,99
224,understand,99
225,app,99
226,voucher,99
227,making,98
228,Help,98
229,isnt,98
230,planes,98
231,update,98
232,Will,97
233,yesterday,97
234,extra,97
235,havent,96
236,team,96
237,speak,96
238,wifi,96
239,appreciate,96
240,finally,96
241,air,95
242,PHL,95
243,look,95
244,many,95
245,awesome,94
246,name,94
247,upgrade,94
248,every,93
249,whats,93
250,money,93
251,come,92
252,rep,92
253,always,92
254,claim,92
255,send,92
256,RT,91
257,though,91
258,early,90
259,couldnt,90
260,year,90
261,earlier,90
262,bc,90
263,fix,90
264,wasnt,90
265,also,90
266,different,89
267,contact,89
268,open,89
269,departure,89
270,Do,88
271,connecting,88
272,instead,88
273,try,87
274,Thats,87
275,pass,87
276,talk,87
277,JetBlue,87
278,disappointed,86
279,job,86
280,employees,86
281,Cant,85
282,attendant,85
283,something,85
284,site,84
285,supposed,84
286,On,84
287,hung,84
288,pilot,84
289,SFO,83
290,least,83
291,th,83
292,Still,83
293,took,83
294,actually,83
295,ground,83
296,ORD,83
297,amazing,82
298,DCA,82
299,paid,82
300,received,82
301,company,81
302,almost,81
303,Id,80
304,Boston,79
305,looking,79
306,full,79
307,Need,78
308,When,78
309,direct,78
310,happy,78
311,family,78
312,ok,78
313,chance,78
314,weeks,77
315,fail,77
316,add,77
317,Dallas,77
318,show,77
319,old,77
320,Denver,77
321,start,76
322,card,76
323,needs,76
324,DestinationDragons,76
325,calling,75
326,sorry,75
327,stranded,75
328,taking,75
329,tweet,75
330,Chicago,75
331,wrong,74
332,far,74
333,CLT,74
334,food,73
335,reason,73
336,landed,73
337,policy,73
338,snow,73
339,leaving,72
340,Vegas,72
341,enough,72
342,Yes,72
343,terrible,72
344,away,71
345,account,71
346,Have,71
347,poor,71
348,point,71
349,message,71
350,vacation,71
351,ridiculous,71
352,sit,70
353,return,70
354,wife,70
355,half,70
356,Been,70
357,gave,69
358,option,69
359,fee,69
360,yall,69
361,coming,69
362,reply,69
363,Great,69
364,found,69
365,American,69
366,thing,68
367,charge,68
368,little,67
369,U,67
370,together,67
371,desk,67
372,mechanical,67
373,car,67
374,horrible,66
375,past,66
376,stop,65
377,soon,65
378,EWR,65
379,frustrated,65
380,ur,64
381,using,64
382,link,64
383,possible,64
384,kids,64
385,changed,64
386,Really,63
387,Are,63
388,around,63
389,went,63
390,San,63
391,might,63
